algorithm,snr_db,rsr_db,n_ok,n_failed,nmse_linear,nmse_db,se_linear,se_db,nmse_db_ci95_low,nmse_db_ci95_high,total_error_energy,total_expected_symbol_energy
em_gs,3.0,12.0,500,0,0.11020098436573948,-9.578145261493926,0.00343069526154437,0.13520133506571105,-9.843135008884452,-9.3131555141034,165.30147654860923,1500.0
em_gs,3.0,13.0,500,0,0.11380755185761554,-9.4382891877335,0.0035995158767800892,0.1373590642530047,-9.707508006619511,-9.169070368847487,170.7113277864233,1500.0
em_gs,3.0,14.0,500,0,0.11844914533683505,-9.264680685573875,0.0037479949461161517,0.13742045319708449,-9.534019824579334,-8.995341546568417,177.67371800525257,1500.0
em_gs,3.0,15.0,500,0,0.10936292446277605,-9.611298848606392,0.003165033008355553,0.12568760183789013,-9.857642021511866,-9.364955675700918,164.04438669416407,1500.0
em_gs,3.0,16.0,500,0,0.10957064572877785,-9.603057789312544,0.003460801155279521,0.13717240002607212,-9.871910753036566,-9.334204825588522,164.35596859316678,1500.0
em_gs,3.0,17.0,500,0,0.10626917412232156,-9.735926945554333,0.0030631447133151733,0.12518275946443724,-9.98128064558997,-9.490573245518695,159.40376118348235,1500.0
em_gs,3.0,18.0,500,0,0.10992585430144781,-9.589001505255137,0.0034016241972354374,0.1343911882928593,-9.852403394148682,-9.325599616361592,164.8887814521717,1500.0
em_gs,3.0,19.0,500,0,0.10885277498115052,-9.631604950230763,0.0031175646254433358,0.12438278344684127,-9.875390726083417,-9.387819174378109,163.27916247172578,1500.0
em_gs,3.0,20.0,500,0,0.10996367650034575,-9.587507484837074,0.003251425690537202,0.12841297059709866,-9.839192282355189,-9.33582268731896,164.9455147505186,1500.0
em_gs,3.0,21.0,500,0,0.10102892811114694,-9.955542547301024,0.0029712386666583927,0.12772505672114925,-10.205879058397812,-9.705206036204235,151.54339216672042,1500.0
em_gs,3.0,22.0,500,0,0.10138744315967357,-9.940158290672768,0.003052349483388245,0.13074780230802932,-10.196419274254268,-9.683897307091268,152.08116473951037,1500.0
em_gs,3.0,23.0,500,0,0.10257721364787077,-9.88949102051211,0.002781685854469559,0.11777184951928527,-10.120319603962582,-9.65866243706164,153.86582047180616,1500.0
em_gs,3.0,24.0,500,0,0.1013891746686882,-9.940084121883636,0.0028624331632718892,0.12261061712831628,-10.180396515577366,-9.699771728189907,152.0837620030323,1500.0
em_gs,3.0,25.0,500,0,0.10035344579839982,-9.984677107147292,0.0028611315936322313,0.12381973067569028,-10.227359319847094,-9.741994894447489,150.53016869759972,1500.0
genie_zf,3.0,0.0,500,0,0.041611179763105646,-13.807899708846936,0.0011215662231118424,0.11705748901126338,-14.037328171429705,-13.578471246264167,62.41676964465847,1500.0
genie_zf,3.0,1.0,500,0,0.044798610809460265,-13.48735453125516,0.001297311736944245,0.12576624999814284,-13.73385185172218,-13.24085721078814,67.1979162141904,1500.0
genie_zf,3.0,2.0,500,0,0.045488346687652136,-13.420998476826407,0.0012417881500649355,0.11855821996987256,-13.653368318038535,-13.188628635614279,68.2325200314782,1500.0
genie_zf,3.0,3.0,500,0,0.04503162362296513,-13.464823941922416,0.0011933787699367824,0.11509196713478582,-13.690400052416464,-13.239247831428369,67.54743543444769,1500.0
genie_zf,3.0,4.0,500,0,0.04479192882379022,-13.488002356242468,0.0011831285414976005,0.1147140144323821,-13.712837693051945,-13.263167019432991,67.18789323568532,1500.0
genie_zf,3.0,5.0,500,0,0.0442024753664038,-13.54553409205933,0.0012052984378390962,0.11842197891885073,-13.77763690571824,-13.313431278400422,66.3037130496057,1500.0
genie_zf,3.0,6.0,500,0,0.044204056038430965,-13.545378791963678,0.0011921812056557015,0.11712900702933207,-13.774947427286108,-13.315810156641248,66.30608405764644,1500.0
genie_zf,3.0,7.0,500,0,0.041953859649507735,-13.77228078997934,0.0010848643099780684,0.11230208313927612,-13.992388828321143,-13.552172751637535,62.9307894742616,1500.0
genie_zf,3.0,8.0,500,0,0.04463273066996064,-13.503465418258966,0.0012207562619590238,0.1187845109092699,-13.736278781562339,-13.270652054955592,66.94909600494096,1500.0
genie_zf,3.0,9.0,500,0,0.04536454858144263,-13.432834063906682,0.0011684272856355845,0.11185860733204983,-13.652072905638308,-13.213595222175057,68.04682287216394,1500.0
genie_zf,3.0,10.0,500,0,0.04398847865605414,-13.566610578618732,0.001091334545470413,0.10774652488304742,-13.777789886848854,-13.35543127038861,65.9827179840812,1500.0
genie_zf,3.0,11.0,500,0,0.04405591881040787,-13.559957368768814,0.0011720639296636355,0.11553973015097023,-13.786411078648191,-13.333503658889436,66.0838782156118,1500.0
genie_zf,3.0,12.0,500,0,0.04370341599468581,-13.594846158977383,0.0011685847517912563,0.11612591322402241,-13.822448766568291,-13.367243551386474,65.55512399202871,1500.0
genie_zf,3.0,13.0,500,0,0.04511312646483896,-13.456970740466819,0.001239120782307656,0.11928752457165273,-13.690769992432195,-13.223171488501443,67.66968969725845,1500.0
genie_zf,3.0,14.0,500,0,0.04385058145243006,-13.580246435771276,0.001204008925480547,0.11924458357883139,-13.813961524937262,-13.346531346605289,65.77587217864509,1500.0
genie_zf,3.0,15.0,500,0,0.04318019270891068,-13.647154237843317,0.0011811625665964522,0.11879807678525348,-13.879994189775038,-13.414314285911596,64.77028906336602,1500.0
genie_zf,3.0,16.0,500,0,0.044475739934945406,-13.518768179041693,0.0011902854406644666,0.11622839766724001,-13.746571652450283,-13.290964705633103,66.71360990241811,1500.0
genie_zf,3.0,17.0,500,0,0.043461835793933486,-13.618919333689952,0.0012190282713095736,0.12181198558292498,-13.857666438317798,-13.380172229062106,65.19275369090023,1500.0
