algorithm,snr_db,n_ok,n_failed,failure_rate,nmse_db,median_nmse_db,aggregate_minus_median_db,p10_nmse_db,p25_nmse_db,p50_nmse_db,p75_nmse_db,p90_nmse_db,p95_nmse_db,p99_nmse_db,worse_than_zero_rate,top1pct_energy_share,top5pct_energy_share,max_nmse_linear
em_gs,12.0,2000,0,0.0,-18.74499068753751,-19.4921014303209,0.7471107427833914,-23.559328631124043,-21.52495523535054,-19.4921014303209,-17.61784134123659,-16.046497061956778,-15.196010703009698,-13.470055501715825,0.0,0.040005487870952844,0.14582525735693383,0.08097545433569218
genie_zf,-5.0,2000,0,0.0,-5.515976145304549,-6.071979032283666,0.5560028869791172,-9.829760758572007,-8.01114893164464,-6.071979032283666,-4.246710112907932,-2.9830217420464993,-2.2913530664264936,-0.995600633021963,0.0025,0.03381857907999954,0.1278539056488109,1.5065154307862259
genie_zf,-4.0,2000,0,0.0,-6.54738605091527,-7.027606880236066,0.4802208293207961,-11.239302437661514,-9.134625188635935,-7.027606880236066,-5.353084260908155,-3.9818954939058813,-3.274765040892072,-2.212143530830338,0.0005,0.033104872249926726,0.12796625208620485,1.180530572324657
genie_zf,-3.0,2000,0,0.0,-7.508925541270432,-8.071377627153257,0.5624520858828257,-12.234704705223265,-10.002599475308855,-8.071377627153257,-6.27280902490145,-4.923325758606031,-4.262390424752302,-2.978331792181991,0.0,0.03227395307095502,0.1272519063737258,0.693041730147686
genie_zf,-2.0,2000,0,0.0,-8.629165939936007,-9.107480366871476,0.47831442693546933,-13.029626819070096,-11.064721720712495,-9.107480366871476,-7.504555962528601,-6.1657272248871156,-5.354335826808525,-4.1243864632459655,0.0,0.034246454793766846,0.12993286984158745,0.6752966487053064
genie_zf,-1.0,2000,0,0.0,-9.48918615797852,-10.07868364213331,0.5894974841547906,-14.065907398399801,-11.981859406720138,-10.07868364213331,-8.340167659344877,-6.859209620535402,-6.154004137314172,-4.747410566176578,0.0,0.03415910506782192,0.13184599205149788,0.5583171850165533
genie_zf,0.0,2000,0,0.0,-10.47087746826013,-11.021019009866526,0.5501415416063953,-14.93902658546416,-12.853953514892691,-11.021019009866526,-9.344273098787845,-7.931041353499767,-7.16641032738949,-5.9280292666626995,0.0,0.03220554627008838,0.1305940838541437,0.349336508996916
genie_zf,1.0,2000,0,0.0,-11.44774553673191,-12.023032020928655,0.5752864841967451,-15.799749012528137,-13.872612307385472,-12.023032020928655,-10.28049048310254,-8.96548347801921,-8.166224273321399,-6.762944383945232,0.0,0.03290761454073257,0.12902884112597637,0.30209733991169413
genie_zf,2.0,2000,0,0.0,-12.533565831048797,-13.088773629773272,0.5552077987244743,-17.072897328135724,-14.97830013288165,-13.088773629773272,-11.35824229422838,-10.035434505357351,-9.309944848809277,-7.8430220790891365,0.0,0.034057753214829824,0.1303008425170915,0.22526009866928454
genie_zf,3.0,2000,0,0.0,-13.605164819978281,-14.219685954076022,0.6145211340977408,-17.80225135736795,-15.957710540895063,-14.219685954076022,-12.49382224495412,-11.120311571500114,-10.268508394769512,-8.899516577380982,0.0,0.033171707075866176,0.13078104341134178,0.21112864373532134
genie_zf,4.0,2000,0,0.0,-14.599693251529018,-15.170936179968864,0.5712429284398457,-18.889833581514445,-16.941694901541446,-15.170936179968864,-13.446391073340113,-11.98592312365033,-11.327875377552774,-10.012108675188935,0.0,0.03228481009854395,0.12763750301924257,0.1373098914822034
genie_zf,5.0,2000,0,0.0,-15.440323931563583,-16.022547185597166,0.5822232540335825,-19.825472598030306,-17.838679137457643,-16.022547185597166,-14.288214846458168,-12.909420530614051,-12.103814253524654,-10.756470702458902,0.0,0.034786072268060526,0.13200022507776227,0.1320166853137745
genie_zf,6.0,2000,0,0.0,-16.461457029008976,-17.038096817081318,0.5766397880723417,-20.966877221155947,-18.951662295807413,-17.038096817081318,-15.305831149248965,-13.874713439876295,-13.12550881529555,-11.92211183460927,0.0,0.0340808101159347,0.13052118090555326,0.11886353424451579
genie_zf,7.0,2000,0,0.0,-17.554608316032983,-18.153820606022975,0.5992122899899925,-22.0931377392917,-20.111436682213256,-18.153820606022975,-16.432547126436315,-14.995860872486977,-14.081915193729955,-12.752742521614962,0.0,0.03551733396869741,0.13721811967017103,0.07973139195497866
genie_zf,8.0,2000,0,0.0,-18.523449959718302,-19.074220966246198,0.5507710065278957,-22.897676430154625,-21.022005900031246,-19.074220966246198,-17.332222334212688,-16.019019347519556,-15.284358327007421,-14.054697381059187,0.0,0.03441447034377542,0.13128607433026018,0.07833173055153354
genie_zf,9.0,2000,0,0.0,-19.573053109217046,-20.101126269501165,0.5280731602841193,-23.806894826698716,-22.00656188139653,-20.101126269501165,-18.433503232402174,-17.098768732220208,-16.255357157269913,-14.995934549507721,0.0,0.03189974045334783,0.12877563771280237,0.042654550574098865
genie_zf,10.0,2000,0,0.0,-20.59076703796957,-21.156398807420672,0.5656317694511017,-25.212619127959037,-23.06873476063671,-21.156398807420672,-19.427086364447344,-17.982833813196134,-17.17451304339323,-16.07856249031945,0.0,0.03248039941076676,0.1301036535569044,0.03542351729056852
genie_zf,11.0,2000,0,0.0,-21.587906212795914,-22.1086504857226,0.5207442729266845,-26.20213118395407,-23.99231197820026,-22.1086504857226,-20.4267231697448,-18.993042213762166,-18.321894573204894,-17.170237589161246,0.0,0.03213892967488122,0.12782277066151151,0.030810997573582754
genie_zf,12.0,2000,0,0.0,-22.41000960479517,-22.915708222244824,0.5056986174496529,-26.91530010527501,-24.96961088075334,-22.915708222244824,-21.310643663254204,-19.829066552645934,-19.168215448264156,-17.70140243144642,0.0,0.0353590285672136,0.13302357965382994,0.03095392830395356
